Country,1990,1990_lower, 1990_upper, 1990_Footnote, 1991,1991_lower, 1991_upper, 1991_Footnote, 1992,1992_lower, 1992_upper, 1992_Footnote, 1993,1993_lower, 1993_upper, 1993_Footnote, 1994,1994_lower, 1994_upper, 1994_Footnote, 1995,1995_lower, 1995_upper, 1995_Footnote, 1996,1996_lower, 1996_upper, 1996_Footnote, 1997,1997_lower, 1997_upper, 1997_Footnote, 1998,1998_lower, 1998_upper, 1998_Footnote, 1999,1999_lower, 1999_upper, 1999_Footnote, 2000,2000_lower, 2000_upper, 2000_Footnote, 2001,2001_lower, 2001_upper, 2001_Footnote, 2002,2002_lower, 2002_upper, 2002_Footnote, 2003,2003_lower, 2003_upper, 2003_Footnote, 2004,2004_lower, 2004_upper, 2004_Footnote, 2005,2005_lower, 2005_upper, 2005_Footnote, 2006,2006_lower, 2006_upper, 2006_Footnote, 2007,2007_lower, 2007_upper, 2007_Footnote, 2008,2008_lower, 2008_upper, 2008_Footnote, 2009,2009_lower, 2009_upper, 2009_Footnote, 2010,2010_lower, 2010_upper, 2010_Footnote, 2011,2011_lower, 2011_upper, 2011_Footnote, 2012,2012_lower, 2012_upper, 2012_Footnote, 2013,2013_lower, 2013_upper, 2013_Footnote, 2014,2014_lower, 2014_upper, 2014_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote
Afghanistan,<500 ,<200 , <1000,,<500 ,<500 , <1000,,<1000 ,<500 , 1200,,<1000 ,<500 , 1500,,<1000 ,<500 , 1700,,1100 ,<1000 , 2000,,1300 ,<1000 , 2300,,1400 ,<1000 , 2500,,1600 ,<1000 , 2700,,1700 ,<1000 , 3000,,1900 ,1100 , 3300,,2100 ,1300 , 3700,,2300 ,1400 , 4100,,2600 ,1600 , 4500,,2800 ,1800 , 4900,,3100 ,1900 , 5300,,3300 ,2100 , 5900,,3500 ,2200 , 6200,,3800 ,2400 , 6900,,4100 ,2600 , 7800,,4500 ,2700 , 8900,,4900 ,2900 , 10 000,,5300 ,3100 , 12 000,,5800 ,3300 , 13 000,,6400 ,3500 , 15 000,,6900 ,3700 , 17 000,,7500 ,3900 , 19 000,
Albania,<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<200 ,<100 , <200,"Estimates for children are not published because of small numbers.",<200 ,<200 , <200,"Estimates for children are not published because of small numbers.",<200 ,<200 , <200,"Estimates for children are not published because of small numbers.",<200 ,<200 , <500,"Estimates for children are not published because of small numbers.",<500 ,<200 , <500,"Estimates for children are not published because of small numbers.",<500 ,<500 , <500,"Estimates for children are not published because of small numbers.",<500 ,<500 , <500,"Estimates for children are not published because of small numbers.",<500 ,<500 , <500,"Estimates for children are not published because of small numbers.",<500 ,<500 , <1000,"Estimates for children are not published because of small numbers.",<1000 ,<500 , <1000,"Estimates for children are not published because of small numbers.",<1000 ,<1000 , <1000,"Estimates for children are not published because of small numbers.",<1000 ,<1000 , <1000,"Estimates for children are not published because of small numbers.",<1000 ,<1000 , <1000,"Estimates for children are not published because of small numbers.",1000 ,<1000 , 1100,"Estimates for children are not published because of small numbers.",1200 ,1000 , 1300,"Estimates for children are not published because of small numbers.",1300 ,1200 , 1500,"Estimates for children are not published because of small numbers.",1500 ,1300 , 1700,"Estimates for children are not published because of small numbers.",1700 ,1500 , 2000,"Estimates for children are not published because of small numbers."
Algeria,1400 ,1300 , 1500,,1600 ,1400 , 1700,,1700 ,1600 , 1900,,1900 ,1800 , 2100,,2200 ,2000 , 2400,,2400 ,2200 , 2700,,2700 ,2500 , 3000,,3000 ,2700 , 3300,,3300 ,3000 , 3600,,3700 ,3400 , 4000,,4100 ,3700 , 4500,,4500 ,4100 , 4900,,4900 ,4500 , 5400,,5400 ,5000 , 5900,,5900 ,5400 , 6500,,6400 ,5900 , 7000,,6900 ,6300 , 7600,,7600 ,6900 , 8300,,8100 ,7500 , 8900,,8700 ,8000 , 9500,,9200 ,8400 , 10 000,,9700 ,8900 , 11 000,,10 000 ,9300 , 11 000,,11 000 ,9800 , 12 000,,11 000 ,10 000 , 12 000,,12 000 ,11 000 , 13 000,,13 000 ,11 000 , 14 000,
Angola,14 000 ,7200 , 26 000,,18 000 ,9600 , 32 000,,23 000 ,13 000 , 39 000,,28 000 ,16 000 , 46 000,,34 000 ,21 000 , 54 000,,41 000 ,26 000 , 62 000,,48 000 ,32 000 , 70 000,,56 000 ,39 000 , 78 000,,64 000 ,47 000 , 86 000,,74 000 ,56 000 , 97 000,,84 000 ,65 000 , 110 000,,95 000 ,76 000 , 120 000,,110 000 ,86 000 , 130 000,,120 000 ,96 000 , 140 000,,130 000 ,110 000 , 160 000,,140 000 ,120 000 , 170 000,,150 000 ,130 000 , 190 000,,170 000 ,140 000 , 200 000,,180 000 ,150 000 , 210 000,,190 000 ,160 000 , 230 000,,210 000 ,170 000 , 250 000,,220 000 ,180 000 , 260 000,,240 000 ,200 000 , 280 000,,250 000 ,210 000 , 290 000,,260 000 ,220 000 , 310 000,,270 000 ,230 000 , 320 000,,280 000 ,240 000 , 330 000,
Argentina,42 000 ,37 000 , 47 000,,46 000 ,41 000 , 51 000,,50 000 ,44 000 , 55 000,,53 000 ,47 000 , 59 000,,55 000 ,49 000 , 62 000,,58 000 ,51 000 , 65 000,,60 000 ,53 000 , 68 000,,63 000 ,56 000 , 72 000,,66 000 ,58 000 , 75 000,,69 000 ,61 000 , 78 000,,72 000 ,63 000 , 81 000,,74 000 ,66 000 , 84 000,,77 000 ,69 000 , 87 000,,80 000 ,72 000 , 90 000,,83 000 ,74 000 , 93 000,,86 000 ,77 000 , 96 000,,89 000 ,80 000 , 99 000,,92 000 ,83 000 , 100 000,,95 000 ,85 000 , 110 000,,98 000 ,88 000 , 110 000,,100 000 ,91 000 , 110 000,,100 000 ,93 000 , 110 000,,110 000 ,96 000 , 120 000,,110 000 ,98 000 , 120 000,,110 000 ,100 000 , 120 000,,110 000 ,100 000 , 120 000,,120 000 ,110 000 , 130 000,
Armenia,<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <100,"Estimates for children are not published because of small numbers.",<100 ,<100 , <200,"Estimates for children are not published because of small numbers.",<100 ,<100 , <500,"Estimates for children are not published because of small numbers.",<100 ,<100 , <500,"Estimates for children are not published because of small numbers.",<200 ,<100 , <1000,"Estimates for children are not published because of small numbers.",<500 ,<100 , <1000,"Estimates for children are not published because of small numbers.",<1000 ,<200 , 1300,"Estimates for children are not published because of small numbers.",<1000 ,<500 , 2000,"Estimates for children are not published because of small numbers.",1400 ,<500 , 2400,"Estimates for children are not published because of small numbers.",1900 ,<1000 , 3000,"Estimates for children are not published because of small numbers.",2300 ,1200 , 3300,"Estimates for children are not published because of small numbers.",2600 ,1500 , 3600,"Estimates for children are not published because of small numbers.",2900 ,1800 , 3800,"Estimates for children are not published because of small numbers.",3000 ,2000 , 3800,"Estimates for children are not published because of small numbers.",3100 ,2200 , 4000,"Estimates for children are not published because of small numbers.",3200 ,2300 , 4000,"Estimates for children are not published because of small numbers.",3200 ,2400 , 4000,"Estimates for children are not published because of small numbers.",3200 ,2400 , 4000,"Estimates for children are not published because of small numbers.",3200 ,2500 , 4000,"Estimates for children are not published because of small numbers.",3100 ,2500 , 4000,"Estimates for children are not published because of small numbers.",3100 ,2500 , 3900,"Estimates for children are not published because of small numbers.",3100 ,2500 , 3900,"Estimates for children are not published because of small numbers.",3100 ,2500 , 3900,"Estimates for children are not published because of small numbers.",3200 ,2600 , 4000,"Estimates for children are not published because of small numbers.",3300 ,2700 , 4100,"Estimates for children are not published because of small numbers."
Australia,16 000 ,14 000 , 18 000,,15 000 ,14 000 , 17 000,,15 000 ,13 000 , 17 000,,15 000 ,13 000 , 17 000,,14 000 ,12 000 , 16 000,,14 000 ,12 000 , 16 000,,14 000 ,12 000 , 16 000,,14 000 ,12 000 , 16 000,,14 000 ,12 000 , 16 000,,14 000 ,13 000 , 17 000,,15 000 ,13 000 , 17 000,,15 000 ,14 000 , 17 000,,16 000 ,15 000 , 18 000,,17 000 ,15 000 , 19 000,,17 000 ,16 000 , 19 000,,18 000 ,16 000 , 20 000,,18 000 ,17 000 , 20 000,,19 000 ,17 000 , 21 000,,20 000 ,18 000 , 22 000,,20 000 ,19 000 , 22 000,,21 000 ,19 000 , 23 000,,22 000 ,20 000 , 24 000,,22 000 ,20 000 , 24 000,,23 000 ,21 000 , 25 000,,24 000 ,21 000 , 26 000,,24 000 ,22 000 , 26 000,,25 000 ,23 000 , 27 000,
Austria,... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication.",... ,... , ...,"Estimates were unavailable at the time of publication."
Azerbaijan,<100 ,<100 , <100,,<100 ,<100 , <200,,<100 ,<100 , <200,,<100 ,<100 , <500,,<200 ,<100 , <500,,<500 ,<100 , <1000,,<500 ,<200 , <1000,,<1000 ,<200 , 1400,,<1000 ,<500 , 2000,,1100 ,<500 , 2400,,1500 ,<500 , 2900,,1900 ,<1000 , 3300,,2200 ,1000 , 3800,,2600 ,1400 , 4200,,3000 ,1800 , 4600,,3500 ,2200 , 5100,,3900 ,2500 , 5500,,4400 ,2900 , 6000,,4700 ,3200 , 6400,,5200 ,3600 , 7100,,5800 ,4100 , 7800,,6400 ,4600 , 8500,,7000 ,5100 , 9300,,7600 ,5500 , 10 000,,8100 ,6000 , 11 000,,8700 ,6400 , 11 000,,9200 ,6800 , 12 000,
Bahamas,1500 ,1100 , 1900,"Historical incidence trends were not available or not reliable.",1900 ,1500 , 2300,"Historical incidence trends were not available or not reliable.",2300 ,1900 , 2700,"Historical incidence trends were not available or not reliable.",2800 ,2300 , 3200,"Historical incidence trends were not available or not reliable.",3300 ,2800 , 3600,"Historical incidence trends were not available or not reliable.",3700 ,3300 , 4100,"Historical incidence trends were not available or not reliable.",4100 ,3700 , 4400,"Historical incidence trends were not available or not reliable.",4400 ,4100 , 4700,"Historical incidence trends were not available or not reliable.",4700 ,4500 , 4900,"Historical incidence trends were not available or not reliable.",4900 ,4700 , 5200,"Historical incidence trends were not available or not reliable.",5100 ,4900 , 5400,"Historical incidence trends were not available or not reliable.",5300 ,5000 , 5500,"Historical incidence trends were not available or not reliable.",5500 ,5100 , 5700,"Historical incidence trends were not available or not reliable.",5600 ,5200 , 5900,"Historical incidence trends were not available or not reliable.",5800 ,5300 , 6100,"Historical incidence trends were not available or not reliable.",5900 ,5400 , 6300,"Historical incidence trends were not available or not reliable.",6100 ,5500 , 6500,"Historical incidence trends were not available or not reliable.",6300 ,5700 , 6700,"Historical incidence trends were not available or not reliable.",6500 ,5900 , 6900,"Historical incidence trends were not available or not reliable.",6700 ,6100 , 7100,"Historical incidence trends were not available or not reliable.",7000 ,6400 , 7300,"Historical incidence trends were not available or not reliable.",7200 ,6700 , 7700,"Historical incidence trends were not available or not reliable.",7400 ,6900 , 7900,"Historical incidence trends were not available or not reliable.",7600 ,7100 , 8200,"Historical incidence trends were not available or not reliable.",7800 ,7200 , 8500,"Historical incidence trends were not available or not reliable.",8000 ,7300 , 8800,"Historical incidence trends were not available or not reliable.",8200 ,7400 , 9000,"Historical incidence trends were not available or not reliable."
