school,subject,marks
Snootys,Maths,78
Grindthorpe,Maths,50
Slapdash,Maths,85
Bashstreet,Maths,99
Hoipolloi,Maths,52
Snootys,History,87
Grindthorpe,History,61
Slapdash,History,61
Bashstreet,History,66
Hoipolloi,History,71
Snootys,Geography,66
Grindthorpe,Geography,50
Slapdash,Geography,66
Bashstreet,Geography,54
Hoipolloi,Geography,67
Snootys,English,69
Grindthorpe,English,69
Slapdash,English,50
Bashstreet,English,84
Hoipolloi,English,99
Snootys,Chemistry,77
Grindthorpe,Chemistry,67
Slapdash,Chemistry,86
Bashstreet,Chemistry,69
Hoipolloi,Chemistry,99
Snootys,Computing,63
Grindthorpe,Computing,69
Slapdash,Computing,82
Bashstreet,Computing,63
Hoipolloi,Computing,74
