time,london_se,long_distance,regional,fourweek,finyear,period
1997-98 Period 01,2,4.9,2.3,1,1997,1997
1997-98 Period 02,1.4,5.5,2.1,2,1997,1997.076923
1997-98 Period 03,2.9,5.4,2.1,3,1997,1997.153846
1997-98 Period 04,2.7,5.5,2.1,4,1997,1997.230769
1997-98 Period 05,2.4,6.5,2.8,5,1997,1997.307692
1997-98 Period 06,2,5.8,2.5,6,1997,1997.384615
1997-98 Period 07,2.1,9,2.5,7,1997,1997.461538
1997-98 Period 08,3,8.3,3.4,8,1997,1997.538462
1997-98 Period 09,3.6,7.2,2.9,9,1997,1997.615385
1997-98 Period 10,3.1,8.2,3.9,10,1997,1997.692308
1997-98 Period 11,1.9,8.4,2.5,11,1997,1997.769231
1997-98 Period 12,2.2,6.7,2.2,12,1997,1997.846154
1997-98 Period 13,1.8,5.6,2.2,13,1997,1997.923077
1998-99 Period 01,2.1,7.8,2.9,1,1998,1998
1998-99 Period 02,2.3,6.4,3.1,2,1998,1998.076923
1998-99 Period 03,2.1,7.4,3.2,3,1998,1998.153846
1998-99 Period 04,2.3,6.7,4,4,1998,1998.230769
1998-99 Period 05,3,6.9,3.7,5,1998,1998.307692
1998-99 Period 06,2.4,6.3,2.8,6,1998,1998.384615
1998-99 Period 07,2.1,5.8,2.5,7,1998,1998.461538
1998-99 Period 08,3.7,11.2,4.6,8,1998,1998.538462
1998-99 Period 09,2.9,7.8,3.1,9,1998,1998.615385
1998-99 Period 10,3.5,9.1,3.7,10,1998,1998.692308
1998-99 Period 11,2,7.4,2.3,11,1998,1998.769231
1998-99 Period 12,1.8,6.3,2.5,12,1998,1998.846154
1998-99 Period 13,1.6,4.7,2.4,13,1998,1998.923077
1999-00 Period 01,1.7,4.7,1.8,1,1999,1999
1999-00 Period 02,1.9,6,2.4,2,1999,1999.076923
1999-00 Period 03,1.8,6.3,2.8,3,1999,1999.153846
1999-00 Period 04,1.9,5.4,2.3,4,1999,1999.230769
1999-00 Period 05,1.8,6.8,2.8,5,1999,1999.307692
1999-00 Period 06,1.8,5.3,2.7,6,1999,1999.384615
1999-00 Period 07,2.6,5,2.4,7,1999,1999.461538
1999-00 Period 08,4.8,8.8,3.9,8,1999,1999.538462
1999-00 Period 09,3.1,7.3,3.6,9,1999,1999.615385
1999-00 Period 10,3.8,7.1,4.1,10,1999,1999.692308
1999-00 Period 11,2.4,5.3,2.3,11,1999,1999.769231
1999-00 Period 12,2.6,4.8,2.1,12,1999,1999.846154
1999-00 Period 13,2.9,5,2.8,13,1999,1999.923077
000-01 Period 01,2,4.9,2.6,1,2000,2000
2000-01 Period 02,2.2,5.1,3,2,2000,2000.076923
2000-01 Period 03,2.9,6.8,3.7,3,2000,2000.153846
2000-01 Period 04,2.7,6.9,2.5,4,2000,2000.230769
2000-01 Period 05,2.4,7.1,3.4,5,2000,2000.307692
2000-01 Period 06,2.9,10.2,4,6,2000,2000.384615
2000-01 Period 07,4.2,8.5,4,7,2000,2000.461538
2000-01 Period 08,14.2,47.1,12.5,8,2000,2000.538462
2000-01 Period 09,7.4,28.1,8.6,9,2000,2000.615385
2000-01 Period 10,8.8,27.6,11.9,10,2000,2000.692308
2000-01 Period 11,4.2,17.7,5.9,11,2000,2000.769231
2000-01 Period 12,5.2,17.8,4.5,12,2000,2000.846154
2000-01 Period 13,3.7,14.4,3.9,13,2000,2000.923077
2001-02 Period 01,2.6,11.2,3.3,1,2001,2001
2001-02 Period 02,2.9,13.7,5.5,2,2001,2001.076923
2001-02 Period 03,3.2,9.9,4.7,3,2001,2001.153846
2001-02 Period 04,3.9,12.6,5.1,4,2001,2001.230769
2001-02 Period 05,3.5,11.7,5.7,5,2001,2001.307692
2001-02 Period 06,3.4,8.3,5.5,6,2001,2001.384615
2001-02 Period 07,3.6,9.5,5.6,7,2001,2001.461538
2001-02 Period 08,4.3,10.6,5,8,2001,2001.538462
