"dates","rate"
"2016-01-05",0.636363636363636
"2016-01-16",2.5
"2016-01-19",5
"2016-01-21",1.16666666666667
"2016-01-30",1.22727272727273
"2016-02-10",0.5
"2016-02-18",2.8
"2016-02-23",4.16666666666667
"2016-02-26",5.33333333333333
"2016-02-29",3.5
"2016-03-03",5
"2016-03-05",6.5
"2016-03-07",10
"2016-03-08",0.769230769230769
"2016-03-21",0.7
"2016-03-31",0.142857142857143
"2016-04-14",0.6
"2016-04-29",0.416666666666667
"2016-05-17",0.181818181818182
"2016-05-28",1.125
"2016-06-05",1
"2016-06-12",0.184210526315789
"2016-07-01",0.888888888888889
"2016-07-10",0.416666666666667
"2016-07-28",0.5
"2016-08-09",0.6
"2016-08-19",1.21428571428571
"2016-08-26",0.78125
"2016-09-11",0.6875
"2016-09-27",0.666666666666667
"2016-10-06",0.529411764705882
"2016-10-23",0.5625
"2016-10-31",0.55
"2016-11-10",0.818181818181818
"2016-11-21",0.428571428571429
"2016-12-05",0.928571428571429
"2016-12-12",0.210526315789474
"2016-12-31",0
