option,response,trained,count,percent
risk_exttable,less,yes,76,11.88
risk_exttable,equal,yes,51,7.97
risk_exttable,more,yes,513,80.16
risk_exttable,less,no,30,6.48
risk_exttable,equal,no,56,12.1
risk_exttable,more,no,377,81.43
risk_lines_beneath,less,yes,298,46.56
risk_lines_beneath,equal,yes,99,15.47
risk_lines_beneath,more,yes,243,37.97
risk_lines_beneath,less,no,168,36.29
risk_lines_beneath,equal,no,67,14.47
risk_lines_beneath,more,no,228,49.24
risk_areas_beneath,less,yes,184,28.75
risk_areas_beneath,equal,yes,74,11.56
risk_areas_beneath,more,yes,382,59.69
risk_areas_beneath,less,no,113,24.41
risk_areas_beneath,equal,no,70,15.12
risk_areas_beneath,more,no,280,60.48
risk_areas_behind,less,yes,378,59.06
risk_areas_behind,equal,yes,67,10.47
risk_areas_behind,more,yes,195,30.47
risk_areas_behind,less,no,224,48.38
risk_areas_behind,equal,no,49,10.58
risk_areas_behind,more,no,190,41.04
unce_fading,less,yes,281,43.91
unce_fading,equal,yes,104,16.25
unce_fading,more,yes,255,39.84
unce_fading,less,no,167,36.07
unce_fading,equal,no,84,18.14
unce_fading,more,no,212,45.79
unce_confint,less,yes,62,9.69
unce_confint,equal,yes,39,6.09
unce_confint,more,yes,539,84.22
unce_confint,less,no,72,15.55
unce_confint,equal,no,28,6.05
unce_confint,more,no,363,78.4
