long,lat,total,hr,mo,day
-73.946457,40.772728,2.3513752571634776,10,Jan,Sun
-73.998268,40.740414,2.8903717578961645,4,Jan,Sun
-73.953461,40.775864,1.4350845252893227,10,Jan,Sun
-73.981369,40.724731,2.624668592163159,11,Jan,Sun
-73.967995,40.760002,1.8718021769015913,11,Jan,Sun
-73.985023,40.763409,2.3223877202902252,10,Jan,Sun
-73.972954,40.795273,0.9162907318741551,12,Jan,Sun
-73.965775,40.765297,1.3862943611198906,7,Jan,Sun
-73.947678,40.77507,2.772588722239781,8,Jan,Sun
-73.984566,40.72488,1.9459101490553132,12,Jan,Sun
-73.97068,40.785057,1.8718021769015913,13,Jan,Sun
-74.00164,40.744141,2.4336133554004498,12,Jan,Sun
-73.987999,40.749603,1.9459101490553132,13,Jan,Sun
-73.993095,40.747547,2.1972245773362196,13,Jan,Sun
-73.968315,40.786877,2.1400661634962708,14,Jan,Sun
-73.951309,40.810066,3.091042453358316,13,Jan,Sun
-73.985336,40.72374,1.9740810260220096,16,Jan,Sun
-73.916817,40.769669,3.56953269648137,13,Jan,Sun
-73.972878,40.786842,1.7047480922384253,16,Jan,Sun
-73.987679,40.719791,2.8273136219290276,13,Jan,Sun
-73.988464,40.737244,2.302585092994046,16,Jan,Sun
-73.960403,40.76165,1.8718021769015913,15,Jan,Sun
-73.980247,40.751324,2.3223877202902252,16,Jan,Sun
-74.010292,40.711578,2.574137783515943,14,Jan,Sun
-73.977531,40.742348,1.9459101490553132,17,Jan,Sun
-73.991913,40.735573,2.0149030205422647,17,Jan,Sun
-73.874474,40.774059,3.5409593240373143,15,Jan,Sun
-73.991104000000007,40.69207,3.7232808808312687,19,Jan,Sun
-73.977531,40.763592,1.6094379124341003,16,Jan,Sun
-73.975037,40.758316,2.0149030205422647,17,Jan,Sun
-73.980919,40.755943,1.6094379124341003,15,Jan,Sun
-73.967262,40.76012,2.4595888418037104,17,Jan,Sun
-73.974358,40.754166,1.8870696490323797,18,Jan,Sun
-73.981216,40.729156,3.9415818076696905,16,Jan,Sun
-73.984901,40.748734,1.6863989535702288,18,Jan,Sun
-73.974434,40.751209,2.2512917986064953,22,Jan,Sun
-73.956581,40.777424,1.5040773967762742,18,Jan,Sun
-73.966438,40.764843,1.7047480922384253,18,Jan,Sun
-73.975105,40.78754,2.272125885509337,21,Jan,Sun
-73.98761,40.765232,2.740840023925201,22,Jan,Sun
-74.008286,40.71283,2.2512917986064953,21,Jan,Sun
-73.994514,40.750229,3.342861804649192,1,Jan,Mon
-73.989029,40.734013,2.5416019934645457,20,Jan,Sun
-73.982391,40.731606,2.302585092994046,6,Jan,Mon
-73.982925,40.742146,1.791759469228055,5,Jan,Mon
-73.993393,40.729431,3.2726061472891685,1,Jan,Mon
-73.953339,40.782677,2.791165107812717,22,Jan,Sun
-73.990288,40.731873,2.31451366385932,23,Jan,Sun
-73.990059,40.717041,2.8622008809294686,4,Jan,Mon
-74.003128,40.739025,1.791759469228055,21,Jan,Sun
-73.983421,40.760731,2.4932054526026954,23,Jan,Sun
-73.999077,40.734192,3.6109179126442243,7,Jan,Mon
-73.952873,40.772381,2.1972245773362196,7,Jan,Mon
-73.894142,40.768536,1.8718021769015913,8,Jan,Mon
-74.008369,40.714344,2.5649493574615367,7,Jan,Mon
-73.99025,40.756435,1.791759469228055,8,Jan,Mon
-73.978523,40.739704,2.0149030205422647,7,Jan,Mon
-73.968109,40.799969,2.803360380906535,8,Jan,Mon
-74.007423,40.732979,1.9459101490553132,7,Jan,Mon
-73.9618,40.75967,2.803360380906535,8,Jan,Mon
-73.977966,40.751686,1.6094379124341003,8,Jan,Mon
-73.994812,40.727737,2.70805020110221,10,Jan,Mon
-73.952126,40.781456,1.9459101490553132,20,Jan,Sun
-73.978157,40.78886,2.8213788864092133,8,Jan,Mon
-73.981064,40.753502,2.740840023925201,8,Jan,Mon
-73.965759,40.765705,2.174751721484161,10,Jan,Mon
-73.966995,40.761448,1.3862943611198906,12,Jan,Mon
-73.954834,40.765652,4.324132656254979,12,Jan,Mon
-73.976067,40.79158,3.044522437723423,8,Jan,Mon
-73.959908,40.798492,2.6026896854443837,12,Jan,Mon
-73.999275,40.760693,2.3223877202902252,10,Jan,Mon
-73.987549,40.748466,2.5257286443082556,10,Jan,Mon
-73.958382,40.769035,2.3223877202902252,13,Jan,Mon
-73.998848,40.744686,2.0149030205422647,12,Jan,Mon
-73.989471,40.767918,2.70805020110221,9,Jan,Mon
-73.978828,40.736404,2.1400661634962708,12,Jan,Mon
