long,lat,total,hr,mo,day
-74.007645,40.705772,2.740840023925201,18,Jul,Tue
-73.986115,40.726604,2.1972245773362196,2,May,Sat
-74.183601,40.668629,1.8718021769015913,21,Mar,Mon
-73.983887,40.725758,2.833213344056216,21,Feb,Sun
-74.000458,40.732304,1.6863989535702288,18,Jun,Sun
-73.9897,40.758869,2.0794415416798357,22,Aug,Fri
-74.011559,40.714802,3.332204510175204,17,Dec,Mon
-73.981903,40.766529,2.5649493574615367,18,Sep,Thu
-73.982277,40.778255,2.1400661634962708,7,Apr,Wed
-73.994019,40.732807,2.6026896854443837,20,Apr,Mon
-73.991066,40.749596,2.5877640352277083,20,Jun,Mon
-73.957436,40.770123,2.0794415416798357,16,Jan,Mon
-74.013725,40.71468,3.8480176754522337,1,Aug,Fri
-73.969337,40.768459,2.1972245773362196,20,Feb,Sun
-73.959724,40.77113,3.0081547935525483,22,Jun,Thu
-73.980682,40.783146,2.2512917986064953,19,Sep,Tue
-74.009285,40.713448,1.7047480922384253,22,May,Sun
-73.978386,40.782993,2.3978952727983707,15,Jan,Sun
-73.982101,40.765179,2.302585092994046,19,Jul,Tue
-73.964478,40.755535,2.3561258599220753,7,Dec,Mon
-74.00589,40.712097,2.1400661634962708,20,Mar,Wed
-73.964195,40.776375,2.0149030205422647,19,Dec,Tue
-73.963425,40.757568,2.3513752571634776,15,Jun,Mon
-73.975014,40.752167,2.163323025660538,19,Jul,Tue
-73.95668,40.774963,2.066862759472976,14,Aug,Mon
-73.973717,40.763187,2.302585092994046,15,Oct,Sun
-74.001495,40.740925,1.791759469228055,18,Dec,Fri
-73.982056,40.784634,2.5257286443082556,20,Apr,Sat
-73.955208,40.779312,1.3862943611198906,5,Feb,Mon
-73.963219,40.757,2.0794415416798357,17,Mar,Sun
-73.981544,40.745049,2.6026896854443837,17,Feb,Sun
-73.977432,40.758057,1.8718021769015913,18,Aug,Tue
-73.99398,40.751469,3.417726683613366,23,Jan,Sun
-73.981857,40.768276,1.791759469228055,18,Feb,Fri
-73.977493,40.755505,2.2823823856765264,19,Oct,Mon
-74.007172,40.729069,1.9878743481543455,21,May,Thu
-73.986137,40.757687,2.151762203259462,21,Jan,Sat
-73.97966,40.783592,3.481240089335692,9,Jul,Fri
-73.963409,40.75732,1.9459101490553132,13,May,Tue
-74.01265,40.70673,2.6026896854443837,18,Apr,Tue
-73.992218,40.743896,2.388762789235098,21,Nov,Sun
-73.958664,40.780796,2.0794415416798357,6,Nov,Fri
-73.973282,40.784969,2.740840023925201,15,Mar,Thu
-74.013237,40.71011,2.970414465569701,12,Mar,Sun
-73.970947,40.751621,2.2925347571405443,20,Aug,Thu
-73.989952,40.725609,2.1972245773362196,11,Sep,Wed
-73.912079,40.767429,2.4849066497880004,23,Sep,Tue
-73.985237,40.744549,2.5649493574615367,19,Jul,Tue
-74.002968,40.715038,3.091042453358316,14,Dec,Mon
-73.977188,40.789597,1.6863989535702288,8,Oct,Thu
