"","time","london_se","long_distance","regional","fourweek","finyear","period","calyear","calperiod","caltime","autumn","spline"
"1","1997-98 Period 01",2,4.9,2.3,1,1997,1997,1997,4,1997.23076923077,0,2.30365147644126
"2","1997-98 Period 02",1.4,5.5,2.1,2,1997,1997.076923,1997,5,1997.30769230769,0,2.30983745577957
"3","1997-98 Period 03",2.9,5.4,2.1,3,1997,1997.153846,1997,6,1997.38461538462,0,2.31583500115297
"4","1997-98 Period 04",2.7,5.5,2.1,4,1997,1997.230769,1997,7,1997.46153846154,0,2.32137052869999
"5","1997-98 Period 05",2.4,6.5,2.8,5,1997,1997.307692,1997,8,1997.53846153846,0,2.32631284254789
"6","1997-98 Period 06",2,5.8,2.5,6,1997,1997.384615,1997,9,1997.61538461538,0,2.33056634382118
"7","1997-98 Period 07",2.1,9,2.5,7,1997,1997.461538,1997,10,1997.69230769231,1,2.33400680700467
"8","1997-98 Period 08",3,8.3,3.4,8,1997,1997.538462,1997,11,1997.76923076923,1,2.33639550002467
"9","1997-98 Period 09",3.6,7.2,2.9,9,1997,1997.615385,1997,12,1997.84615384615,1,2.33756160695968
"10","1997-98 Period 10",3.1,8.2,3.9,10,1997,1997.692308,1997,13,1997.92307692308,0,2.33772048305555
"11","1997-98 Period 11",1.9,8.4,2.5,11,1997,1997.769231,1998,1,1998,0,2.33718402634993
"12","1997-98 Period 12",2.2,6.7,2.2,12,1997,1997.846154,1998,2,1998.07692307692,0,2.3363035647976
"13","1997-98 Period 13",1.8,5.6,2.2,13,1997,1997.923077,1998,3,1998.15384615385,0,2.33558814602158
"14","1998-99 Period 01",2.1,7.8,2.9,1,1998,1998,1998,4,1998.23076923077,0,2.33552585008771
"15","1998-99 Period 02",2.3,6.4,3.1,2,1998,1998.076923,1998,5,1998.30769230769,0,2.33636316716467
"16","1998-99 Period 03",2.1,7.4,3.2,3,1998,1998.153846,1998,6,1998.38461538462,0,2.33828618994685
"17","1998-99 Period 04",2.3,6.7,4,4,1998,1998.230769,1998,7,1998.46153846154,0,2.34146745457368
"18","1998-99 Period 05",3,6.9,3.7,5,1998,1998.307692,1998,8,1998.53846153846,0,2.34602527096478
"19","1998-99 Period 06",2.4,6.3,2.8,6,1998,1998.384615,1998,9,1998.61538461538,0,2.35209026170437
"20","1998-99 Period 07",2.1,5.8,2.5,7,1998,1998.461538,1998,10,1998.69230769231,1,2.35989652625475
"21","1998-99 Period 08",3.7,11.2,4.6,8,1998,1998.538462,1998,11,1998.76923076923,1,2.36970403329771
"22","1998-99 Period 09",2.9,7.8,3.1,9,1998,1998.615385,1998,12,1998.84615384615,1,2.38185335503038
"23","1998-99 Period 10",3.5,9.1,3.7,10,1998,1998.692308,1998,13,1998.92307692308,0,2.39700747771116
"24","1998-99 Period 11",2,7.4,2.3,11,1998,1998.769231,1999,1,1999,0,2.41595344445036
"25","1998-99 Period 12",1.8,6.3,2.5,12,1998,1998.846154,1999,2,1999.07692307692,0,2.4396521117046
"26","1998-99 Period 13",1.6,4.7,2.4,13,1998,1998.923077,1999,3,1999.15384615385,0,2.46910778926712
"27","1999-00 Period 01",1.7,4.7,1.8,1,1999,1999,1999,4,1999.23076923077,0,2.50522675059792
"28","1999-00 Period 02",1.9,6,2.4,2,1999,1999.076923,1999,5,1999.30769230769,0,2.54852312382411
"29","1999-00 Period 03",1.8,6.3,2.8,3,1999,1999.153846,1999,6,1999.38461538462,0,2.59932361488822
"30","1999-00 Period 04",1.9,5.4,2.3,4,1999,1999.230769,1999,7,1999.46153846154,0,2.6575973863272
"31","1999-00 Period 05",1.8,6.8,2.8,5,1999,1999.307692,1999,8,1999.53846153846,0,2.72322421482644
"32","1999-00 Period 06",1.8,5.3,2.7,6,1999,1999.384615,1999,9,1999.61538461538,0,2.79594425034626
"33","1999-00 Period 07",2.6,5,2.4,7,1999,1999.461538,1999,10,1999.69230769231,1,2.8749391359438
"34","1999-00 Period 08",4.8,8.8,3.9,8,1999,1999.538462,1999,11,1999.76923076923,1,2.95925088795075
"35","1999-00 Period 09",3.1,7.3,3.6,9,1999,1999.615385,1999,12,1999.84615384615,1,3.04800445555227
"36","1999-00 Period 10",3.8,7.1,4.1,10,1999,1999.692308,1999,13,1999.92307692308,0,3.14065651934748
"37","1999-00 Period 11",2.4,5.3,2.3,11,1999,1999.769231,2000,1,2000,0,3.23674065916888
"38","1999-00 Period 12",2.6,4.8,2.1,12,1999,1999.846154,2000,2,2000.07692307692,0,3.33576632036846
"39","1999-00 Period 13",2.9,5,2.8,13,1999,1999.923077,2000,3,2000.15384615385,0,3.43723691467808
